Ai,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15
A1,0.368172775,5.63546771,3.406316001,3.961013993,2.239856449,0.003298879,0.403684113,0.003948265,2.881440524,7.329582344,0.260081994,0.267445977,3.210289739,4.010829277,0.804399784
A2,11.06393528,3.578513972,3.624813698,0.395885941,0.312122949,0.049138424,0.246602092,0.024569212,5.604831866,26.74784766,0.285770153,1.869834102,5.838553558,10.99426796,1.428288755
A3,3.268102814,0.742906793,3.229404392,2.983543553,3.848181249,0.025421236,0.578910866,0.015406809,4.946723901,17.52158557,1.480712264,0.778657463,3.142729975,10.6314655,1.29283166
A4,0.045310754,37.48907283,1.733784679,8.022955456,4.001518764,0,0.351990532,0,5.552109143,17.56419714,20.35624936,2.307930034,9.993477269,19.253178,1.61931351
A5,3.609889048,12.26242947,6.51836541,1.85724433,6.63433798,0.003168017,0.443883339,0,4.724407942,11.18559617,1.430053292,0.824620547,7.043139597,6.591188607,1.271222833
A6,0.243907488,7.086208275,0,7.746161559,0.545504335,0.052250229,0.039956058,0.052250229,0,31.88053051,14.27004932,3.182739323,3.976410231,24.51655465,0.035357009
A7,8.044557454,7.319804065,6.348097021,0.001728797,0.375002442,0.011607687,0.084503964,0.084039656,0.444324882,22.83794055,0,3.718606946,6.609796414,8.903215818,0.177267611
A8,11.48540444,18.3948964,4.99348994,1.44622354,0.630515993,0.003464467,0.423704338,0.032219545,0,15.4646252,0,1.517961711,10.42949031,5.678298538,0.150717862
A9,11.95393931,3.951767601,1.518645491,0.522009887,0.870145155,0.005717598,0.481174725,0.069806149,6.751476936,13.67464817,2.133097306,3.208096995,5.165579227,7.604815468,2.090669797
A10,38.92756739,4.692377661,0.317711483,0.494371362,0.97690289,0,0.405518743,0.058743369,1.270639579,37.54075674,0.620029077,0.459529279,10.17088129,18.31347521,0.484837849
A11,2.518710074,21.33862223,0.011843247,0.683600008,0.979552606,0.001694301,0.024772291,0,3.326873843,5.572545777,0,0.61286847,5.52964092,2.389566238,1.12447005
A12,14.00654174,4.664967126,6.995864877,1.203467443,6.587983387,0.005859809,0.421411069,0.468702205,3.569214301,12.9685846,1.629739001,4.656396053,7.527358334,8.799219965,1.198921339
A13,0,4.522319855,2.793219828,0,1.129911108,0,0,0,1.545218766,23.86207482,0.270587174,0,2.165047737,7.142979444,0.621334152
A14,39.76052226,1.978456758,0.003195327,5.136780389,5.3261477,0.110839172,0.281360976,0.059682631,2.321886738,41.64600451,10.0915272,0,8.198525946,28.65429011,0.685632082
A15,3.727525179,7.288679443,0.636664922,2.773417059,1.116343973,0.050931958,0.016007187,0.030559175,4.257148617,26.67612805,19.40922266,0,2.988637538,21.39978511,1.361187443
A16,1.500451392,1.309261787,1.495826954,0.348571046,1.542594523,0.000499291,0.160534823,0,4.094843759,5.309663177,1.435773768,0.11251446,0.883445762,1.899014703,2.204115716
A17,0.521671622,1.59225984,0.320119875,3.770955365,1.135805749,0.010473684,0.627869821,0.007166205,4.154594578,19.68941914,1.600656876,0.044794592,1.388380488,11.99461591,1.112078068
A18,0,0,4.030123038,0,0.281926177,0,0,0,2.407973924,7.722853096,0.165371587,6.751129653,1.709617486,2.481792335,0.927286028
A19,0.082976783,5.813102567,0.931690592,1.598040923,2.612045887,0.042451327,0.350033388,0,2.950461085,3.426806047,1.262759982,0.514089717,2.212550195,2.764717952,0.690794673
A20,57.2151055,6.505051798,1.30285923,5.160545916,1.301090753,0.009960815,1.418991679,0.794166632,7.551271364,24.51957642,6.829193541,1.88228803,14.9237842,15.83445592,2.904986727
A21,1.434946271,5.906739642,0.0345345,5.50381366,0.552659927,0.003504444,0.445701514,0.04571706,4.508472378,13.54703719,0.871311946,0.376492379,2.787889217,7.990952943,1.109245206
A22,22.54022383,22.41322328,1.486678517,4.701960313,1.474242146,0.000793073,0.237922009,0.005551514,6.155502429,30.2350395,0,9.874852679,14.16917101,14.34558193,2.003194075
A23,27.83604394,11.0930496,3.348339254,0.780938469,0.102850778,0.02544194,0.619087201,0.010903688,3.802340641,25.28842824,0.597861333,0,9.224336963,14.54817507,1.012864976
A24,29.04468697,0.04062583,1.856817106,0.888913475,0.895813095,0,0.233639658,0.011279156,1.646699144,32.79937074,1.832564504,1.517598634,8.336352125,13.86668451,0.676947477
A25,15.16777692,0.017634897,1.743625086,3.787043418,1.940041351,0.027792642,0.566969905,0.074484282,7.192645174,8.493140772,2.297998283,0,5.320845235,6.02482196,1.575394922
A26,16.65774301,2.336663171,0.013317086,12.46643002,0.99290711,0.003288685,0.46107365,0,12.30867538,36.35481468,13.22262609,3.038933807,9.308540212,27.97175584,2.040630409
A27,47.83046405,10.13025045,0.069591552,6.440447012,1.262692073,0,1.924429765,0,12.71893065,36.75952803,20.19024369,8.32637163,22.76345856,28.12257651,3.082630419
A28,1.225955033,10.51249242,2.113286583,5.44906069,2.572667513,0.005650733,0.257025191,0,2.373308438,5.001970285,0.152637611,1.088534697,4.989326659,2.604178498,0.791043531
A29,66.44290332,0.054012693,0,0,26.61312836,0.055087277,0,0,5.326799234,7.694002078,59.93940763,0,46.58027195,24.45438295,0.482849775
A30,104.6397202,1.815185337,0,0.013403135,0.188432306,0.312291045,1.227827524,0,3.141981512,18.66433342,5.080314426,10.70385649,58.21412974,7.203406595,1.044867294
