Ai,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15
A1,0.0023484646985692703,0.05729511481640403,0.029441275056061762,0.026283592881539985,0.014985535218438002,0.00014838571598642605,0.003648194827447503,2.685508355463997e-05,0.039983821830930126,0.12483484148783679,0.00402537851658657,0.007752570886624652,0.12653054707034353,0.13661279093403578,0.043807257459673295
A2,0.05292024458321761,0.01718255482172143,0.016376923515546166,0.015611725929265024,0.003572682378553068,0.00013134446330329754,0.0009972906539174138,6.218578038063362e-05,0.02026914863105625,0.1622902846993362,0.01598161004613595,0.013105750430423455,0.10447331032729772,0.1913776452709306,0.0214599695263881
A3,0.018120091064560927,0.004832867314071416,0.01911651326029884,0.017187771279225227,0.021940883539246496,0.0001659197999444866,0.003977842912218646,0.00014324002712521282,0.02909582668515856,0.23723914070190966,0.020694072999621584,0.016286255990190436,0.0769111237217903,0.2742194696445966,0.03338282941982865
A4,0.000239243958942709,0.226501739953193,0.014173713133455224,0.06568931738967236,0.023733291675243334,0.0002966721479487787,0.003220503963716812,0.0,0.03771786571622797,0.23021819919428352,0.32288356981867056,0.03769085304236671,0.32682012993864584,0.5907926219342385,0.041235041816650206
A5,0.02043137222906015,0.11011377146422621,0.04754926443627625,0.01159755888560285,0.0414415144824188,7.608361848548063e-05,0.003975117688106235,0.0,0.03242725091838496,0.15185505977478525,0.022169716451221445,0.013919986110794222,0.22708228022175622,0.1879447624334282,0.0364784522304482
A6,0.0021361772732544785,0.04493018547030511,0.0020077545410508266,0.07971832362619993,0.005475338661075115,0.00033431505314475494,0.00019665591339159885,0.0003146494614265582,0.015525348846553001,0.3380080096548263,0.24465203698186613,0.05257157589871529,0.1334221590999543,0.635231622588473,0.016370969272999764
A7,0.04216086777365398,0.04882940149415822,0.030344697553756975,9.557335894197696e-05,0.002418600761649225,5.651452277290219e-05,0.00043182891781291886,0.0,0.014783153773356988,0.11167157985190619,0.0,0.030142813084055593,0.12336079754849685,0.14181439294527176,0.0152714972165496
A8,0.05535764297941592,0.0931695075920551,0.02348528141110226,0.0077786701880583385,0.003121137861703798,7.666748595382955e-05,0.002450669463987946,0.00019368628032133173,0.03725636217596355,0.09713308970613616,0.0,0.015904832706926574,0.1801912168015365,0.11303792241520598,0.039977385402476
A9,0.07682483597763168,0.036804508948616886,0.013971712164480577,0.004882697667706897,0.006702333370293991,9.344044128160941e-05,0.0033373420170588752,0.0004742207088974608,0.046822526165281216,0.13325871567820977,0.02522802824160287,0.038802557309509184,0.13528108495265972,0.19728930127408043,0.05072752933239981
A10,0.14765790493370712,0.027648567565454384,0.0015686887681942217,0.006559590417033959,0.007474833395161068,9.773739718957016e-06,0.002323217942157008,0.00042320293177944767,0.006580178205151001,0.26926424012901745,0.0163425442011471,0.0036727237021229853,0.18815339046979254,0.289279508210098,0.009336372818075686
A11,0.012880393388362684,0.15445443922563634,0.00029648902449325024,0.0059471006017731065,0.009153991823023887,6.652415352625626e-05,0.00026902889661957046,0.0,0.03193107350293723,0.05518736818875156,0.0,0.00906868899252897,0.18239686102080327,0.06425605716885917,0.03226662655950076
A12,0.06653147933916312,0.025479497866319065,0.032204885912504456,0.005958515142515523,0.02991422716229306,4.787566476494525e-05,0.0027566898275680407,0.002775189090174351,0.02065973063641173,0.11782852378100228,0.015708066229379477,0.042918543644611444,0.15450885083226923,0.17645513365995316,0.026239485210404416
A13,0.0,0.021601225209317825,0.019847947088526743,0.0,0.005660693847513874,0.0,0.0,0.0,0.010355967582928737,0.15920382245127487,0.0014882337150963394,0.05231949881745264,0.04710986615924354,0.21301155494563986,0.010355967582928737
A14,0.13287795504397018,0.006655349913331359,5.6585755945448126e-05,0.025317569473200442,0.016627233127530852,0.000648567835982504,0.0015539748224107064,0.0001566914741113298,0.018672659287554298,0.5331936802457016,0.1710603026604404,0.0003757479227183504,0.1791754591525239,0.7046297307818168,0.02103189341902492
A15,0.013830435540448027,0.03798070736562093,0.002650951269909477,0.010870124664415016,0.005751890803556267,0.0003389418744199244,0.00015330885887398666,0.00024474004566198663,0.027697665385857315,0.22843860004321975,0.1938809979062986,0.006493983949594521,0.07034711889098262,0.42881358189555274,0.02843465616623726
A16,0.014875175420469927,0.029604045232182456,0.01710035130937451,0.013593154598383733,0.017659554737917457,6.192303884519232e-05,0.0061481347630003074,0.0,0.1985693153711348,0.08737095894552371,0.06448405214242406,0.002969585091485951,0.08662222350312704,0.15482459619106154,0.20477937326101944
A17,0.002061274089518592,0.005977711276244274,0.005531009697832083,0.015819215337605826,0.0045177963936937965,7.693555347818159e-05,0.003093339840552174,3.1835401418088964e-05,0.019635172361531384,0.17257548552821322,0.01778824955608659,0.0008036106118289028,0.030704895999548388,0.19116734566524424,0.0228372831527869
A18,0.0,6.290213810776097e-06,0.03412947548985602,0.0,0.0016188265023617777,5.235193745651154e-05,0.0,0.0,0.01931885785398811,0.015154416433852357,0.0,0.023239270276917644,0.03570224027277639,0.03839368670656568,0.01937120979144463
A19,0.00047202858329544286,0.050195032694095434,0.0185638981451927,0.007567651977023102,0.016000382170298453,0.0007617616717315392,0.0024403370317030056,0.0,0.029530524866766265,0.06265018074528941,0.019793036190265994,0.012582484370601995,0.08959689487578316,0.09502570128869633,0.03273262357020081
A20,0.41106524524818844,0.06165198500566805,0.014182163224033007,0.03864978942487231,0.009398909652133629,0.00010372844916164972,0.014287703319339574,0.008796795881376069,0.05388615515717218,0.36794599109276566,0.11120535225243126,0.03781387952779031,0.5117598648964036,0.5169652228843222,0.07707438280886307
A21,0.005287437700924254,0.030918841762052597,0.0006803467948639122,0.012075157124685468,0.0027455998886896055,1.922491119354356e-05,0.0021867667055844027,0.00016390357063005522,0.024025382042935976,0.1362538536602732,0.009308369289822465,0.005634198604528088,0.04933748807524995,0.15119642155725696,0.026395277239428493
A22,0.10102693676734109,0.10533899823603612,0.008404561908155523,0.021369533419745183,0.00692342787070717,2.4084328998456616e-05,0.002162429006356703,2.642554771258495e-05,0.027350331507244127,0.18410828180705388,0.0,0.06312412884544955,0.24085051929219506,0.2472324106233518,0.02956327039079773
A23,0.07334911841878057,0.029225804678643812,0.007795892160746976,0.0016153273689415624,0.00030887725434089296,7.367536032108154e-05,0.0018765256791659405,3.576411741460726e-05,0.015208246804550607,0.17421317060691846,0.0034061743311394423,0.0,0.11030905474554177,0.17761934495955944,0.017194211963551198
A24,0.18842568334881563,0.00024971120481111626,0.010606663139611394,0.005920962595796563,0.004944168301981731,1.4085444728286112e-05,0.0030059486602995824,8.986140414537855e-05,0.03483414615265521,0.25640850276745625,0.01681013432323115,0.018443457201192132,0.20703729306974764,0.29166209426768847,0.03794404166182846
A25,0.06811059833330883,9.756920222225488e-05,0.00924119729677097,0.016902702747688826,0.008767289743749908,0.00011438232723144079,0.0023686673580593483,0.00031931732995046957,0.026714457884448622,0.09213359615441145,0.025911334308264377,0.0,0.10031699031070417,0.1180449304626758,0.02951682489087141
A26,0.2301856722043558,0.08417509015749675,0.0014071776954289125,0.18436969271539036,0.017138287439258645,0.0002362697329828972,0.004093629937984412,0.0,0.06644519537903153,1.0260676381656155,0.32361946027030014,0.08404408697055937,0.5129460206815366,1.4337311853701982,0.07077509505489622
A27,0.5639900941103978,0.15374498712580195,0.0034579905075392465,0.08661968852128239,0.014154821100127842,0.0,0.014181045680528193,0.0,0.14819240073508125,0.5070704577024936,0.3006908248834366,0.14340111501286235,0.8077865356381794,0.9511623975987926,0.16237344640572823
A28,0.006429264817398717,0.07275899340334374,0.0165232784481103,0.030839851466593564,0.01533828856617002,9.437792258259912e-05,0.0018563379166381484,0.0,0.01991166754001625,0.05346982215053553,0.001818019988841405,0.0090403043061989,0.13993896086126392,0.06432814643954025,0.02186238338791316
A29,3.3349186769981345,0.0017703081647295164,0.0,0.0,1.4830038986942176,0.0033991806629358593,0.0,0.0,0.06081790787774429,0.22474977319558045,2.2772751559764672,0.0,4.816293703544267,2.502024929258143,0.06421708853494046
A30,2.2553591506488666,0.06329629253917247,3.762093515413401e-05,0.00025613735561414065,0.0030559987397129587,0.010326678805631598,0.00953175185563765,0.0,0.06900609328201293,0.14913555359628403,0.048526681092427526,0.09883059022939526,2.3021467707552223,0.29649282491810686,0.08886452393950546
