Ai,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15
A1,25.96211573,788.1105093,365.1762683,283.0524506,167.6160454,2.580524506,42.94634566,0.310197764,459.0967043,1358.744974,52.77456719,108.2947489,1584.080321,1519.81429,504.9337722
A2,367.3660571,120.957756,124.0299226,132.9141015,23.64746346,0.953483749,8.326162597,0.331884867,148.4180329,1139.86307,158.9934556,105.5374562,759.3037695,1404.393981,158.0295641
A3,191.5031345,55.9611598,198.7595873,206.2539983,226.3909716,1.845783663,43.56730275,1.49504626,340.4031719,2701.829392,239.847067,202.7642064,831.9607188,3144.440666,387.3113045
A4,1.400885759,1374.387625,82.82622528,374.2749785,152.7407299,2.801380925,21.22708874,0,213.2958201,1303.221586,1947.460103,246.1478405,1961.601974,3496.829529,237.3242898
A5,1703.255788,9993.866364,3988.993981,955.1160791,3379.449699,9.999583628,352.9614935,0,2692.395597,12662.89535,1902.885258,1252.606433,19657.72083,15818.38704,3055.356674
A6,2.235831561,59.11977813,6.319862425,108.3226999,8.848753224,0.454600172,0.320894239,0.722012038,32.82,419.2788765,300.9982803,78.34242716,183.3494188,798.6195839,34.31750645
A7,446.2733413,629.710879,380.783319,2.105760963,32.46233878,0.548648925,4.874035856,0,160.7560906,1172.522079,0,355.2752551,1485.912954,1527.797334,166.1787754
A8,2533.623878,4581.543788,1298.624248,334.049871,147.4708106,4.836363815,108.4905612,9.516715894,1761.517,4671.89811,0,867.314143,8772.468954,5539.212253,1884.360641
A9,5140.721642,2791.310231,1051.176612,333.9481513,470.1060867,8.758166466,226.5045892,34.31856922,3197.220873,8977.671785,1820.763816,2914.527976,9517.681397,13712.96358,3466.802198
A10,593.0132946,120.5923542,7.145313844,41.03181427,42.39896819,0.063886096,9.57492864,1.257757515,62.81127466,1074.852966,86.02512659,14.46928442,793.2851728,1175.347377,73.70784691
A11,63.73330791,844.5435929,1.835769561,29.7783319,43.48813414,0.724900086,1.37808031,0,188.0854794,249.2599838,0,50.30318787,981.276156,299.5631716,190.1884598
A12,4045.723358,1645.910083,2036.878762,364.583233,1834.092168,4.004449283,162.7423906,171.6958653,1316.997516,7137.649928,997.427724,2498.200721,9588.744898,10633.27837,1655.440221
A13,0,19.38287836,18.76758383,0,4.98022356,0,0,0,11.303,137.2521616,1.229387599,45.73612305,43.13068576,184.2176722,11.303
A14,254.2702481,12.82755338,0.269733448,49.44299226,30.30077386,1.963978448,3.161274371,0.300036685,36.38,997.7306057,366.7482325,0.726838891,341.6860115,1365.205677,41.8052895
A15,38.26138865,113.4564242,7.833190026,28.43508169,17.41186586,1.000120378,0.401117799,0.671203783,75.1,622.4753989,550.9697143,19.34107086,203.3255085,1192.786184,77.17244196
A16,8.963790569,20.70670371,11.211092,13.69217541,10.25812621,0.078217971,3.830086672,0,128.1708526,32.84424814,61.49197251,2.054270535,60.92358326,96.39049119,132.0791573
A17,20.37609988,59.25422827,128.7188306,152.1066208,41.08603028,0.855717971,30.64539983,0.294153052,201,1634.142618,168.4427671,12.64055635,369.746539,1815.225941,232.7952709
A18,0,0.003989682,18.19432502,0,0.55038693,0.043213758,0,0,11.013,7.661388172,0.021042323,13.12846088,18.70548788,20.81089137,11.05621376
A19,7.990627687,926.357132,458.766552,243.9971625,272.8144927,20.01781049,43.18733723,0,634.8071267,1158.574676,438.4707203,259.5146512,1846.720819,1856.560048,698.0122744
A20,3633.027497,592.6539764,146.3536543,324.6338779,83.37196905,0.878546412,122.3545091,78.71307788,481.3979311,3240.48887,983.781671,365.0677558,4578.094841,4589.338297,683.3440645
A21,200.4666836,1224.50026,61.10687876,553.8393809,106.6073947,0.877298108,84.14392468,6.251287188,1025.103731,5137.243933,421.2488774,255.1121909,2055.248088,5813.605002,1116.376241
A22,1024.098856,1101.795553,115.4128977,236.4063629,71.29707653,0.548853455,22.19535614,0.285418701,283.768,1939.891325,0,679.3503392,2525.981118,2619.241664,306.7976283
A23,1416.145172,580.3422728,152.8473775,38.72184007,4.626741187,1.405124586,36.19806033,0.650259371,412.35,3419.229865,76.62568071,0,2154.429959,3495.855546,450.6034443
A24,389.3624689,0.546718461,26.0566638,13.02304385,8.113413586,0.055207173,6.198231975,0.1878438,94.37365052,506.6916022,40.10965415,39.62638738,430.6610257,586.4276437,100.8149335
A25,371.8396091,0.547174236,50.64488392,97.16251075,48.40928633,0.641788478,11.73938091,1.791659501,152.41,1040.386214,147.7261871,39.41874463,554.4306354,1227.531146,166.5828289
A26,1240.695834,505.6105683,12.66122098,1059.078762,84.91090482,2.180447605,23.83350368,0,429.108,5732.869894,1840.303593,490.3966343,2876.943339,8063.570121,455.1219513
A27,5746.934745,1785.341842,58.38349097,964.7463457,153.3963887,14.45115302,140.7145606,0,1387.886566,5200.773861,3110.728958,1451.253987,8553.637098,9762.756805,1543.05228
A28,432.1209363,5417.982859,1110.754084,2230.010662,1041.181127,9.800377472,136.0955254,0,1816.943263,3654.537565,122.9811916,610.970019,10086.15377,4388.488776,1962.839166
A29,1168.393213,0.595737379,0,0,517.466724,1.810921356,0,0,20.58,77.97351199,789.1200201,0,1684.644753,867.0935321,22.39092136
A30,12031.98044,512.5636249,1.104213242,2.063800516,19.67583835,73.86070507,50.47291488,0,444.2414048,851.7439333,275.7022308,551.9193733,12443.05429,1679.365537,568.5750247
