Country,2015,2016,2017,2018,2019
Belgium,11237274,11311117,11351727,11398589,11455519
Bulgaria,7202198,7153784,7101859,7050034,7000039
Czechia,10538275,10553843,10578820,10610055,10649800
Denmark,5659715,5707251,5748769,5781190,5806081
Germany,81197537,82175684,82521653,82792351,83019213
Estonia,1314870,1315944,1315635,1319133,1324820
Greece,10858018,10783748,10768193,10741165,10724599
Spain,46449565,46440099,46528024,46658447,46937060
France,66458153,66638391,66809816,67026224,67290471
Croatia,4225316,4190669,4154213,4105493,4076246
Ireland,4677627,4726286,4784383,4830392,4904240
Italy,60795612,60665551,60589445,60483973,59816673
Cyprus,847008,848319,854802,864236,875899
Latvia,1986096,1968957,1950116,1934379,1919968
Lithuania,2921262,2888558,2847904,2808901,2794184
Luxembourg,562958,576249,590667,602005,613894
Hungary,9855571,9830485,9797561,9778371,9772756
Malta,439691,450415,460297,475701,493559
Netherlands,16900726,16979120,17081507,17181084,17282163
Austria,8584926,8700471,8772865,8822267,8858775
Poland,38005614,37967209,37972964,37976687,37972812
Portugal,10374822,10341330,10309573,10291027,10276617
Romania,19870647,19760585,19643949,19533481,19414458
Slovenia,2062874,2064188,2065895,2066880,2080908
Slovakia,5421349,5426252,5435343,5443120,5450421
Finland,5471753,5487308,5503297,5513130,5517919
Sweden,9747355,9851017,9995153,10120242,10230185
United Kingdom,64853393,65379044,65844142,66273576,66647112
Iceland,329100,332529,338349,348450,356991
Norway,5166493,5210721,5258317,5295619,5328212
