Ai,V-COMET pref,V-COMET rank
$A_{1}$,0.2886212274355632,16
$A_{2}$,0.10313588319461617,19
$A_{3}$,0.3562353009133139,13
$A_{4}$,0.4115664314461245,12
$A_{5}$,0.9901648941591333,1
$A_{6}$,0.048396457564458185,25
$A_{7}$,0.11920116048518906,18
$A_{8}$,0.777275944625476,6
$A_{9}$,0.9333282247361929,2
$A_{10}$,0.06335635648093242,24
$A_{11}$,0.038248424544389655,26
$A_{12}$,0.9239881668909937,3
$A_{13}$,0.0054188244621410035,29
$A_{14}$,0.07820541828154982,23
$A_{15}$,0.07956167138517437,22
$A_{16}$,0.015546883519969051,28
$A_{17}$,0.1396922485625958,17
$A_{18}$,5.3596002000247624e-05,30
$A_{19}$,0.5154529460744584,11
$A_{20}$,0.7020293893011436,7
$A_{21}$,0.6489819313877362,8
$A_{22}$,0.3342827335915083,15
$A_{23}$,0.33503645596619075,14
$A_{24}$,0.03379509557023004,27
$A_{25}$,0.08705997566823355,20
$A_{26}$,0.5894043164593904,10
$A_{27}$,0.8304655149929715,4
$A_{28}$,0.8206572960573423,5
$A_{29}$,0.08428867457931613,21
$A_{30}$,0.6385992033636197,9
