Ai,V-COMET pref,V-COMET rank
$A_{1}$,0.36904702132222805,14
$A_{2}$,0.17815882444750933,21
$A_{3}$,0.39478674506232403,13
$A_{4}$,0.7277289116000014,6
$A_{5}$,0.49704876918151747,7
$A_{6}$,0.41541348080962215,12
$A_{7}$,0.2237490893278229,18
$A_{8}$,0.3620883484251912,15
$A_{9}$,0.488802571519516,8
$A_{10}$,0.11287778334711233,27
$A_{11}$,0.15509925359567872,22
$A_{12}$,0.4469192334631201,11
$A_{13}$,0.14688647491305473,25
$A_{14}$,0.20324204498282486,20
$A_{15}$,0.15360758192333399,24
$A_{16}$,0.4583552854856642,9
$A_{17}$,0.12337897054220684,26
$A_{18}$,0.1115509379706174,28
$A_{19}$,0.3231627404685384,17
$A_{20}$,0.8004134032607041,5
$A_{21}$,0.08816091502345488,29
$A_{22}$,0.45102599591965453,10
$A_{23}$,0.07951321177676451,30
$A_{24}$,0.3393121909222806,16
$A_{25}$,0.1538840058608871,23
$A_{26}$,0.866406767647935,3
$A_{27}$,0.9065212644065453,1
$A_{28}$,0.21150145296467315,19
$A_{29}$,0.904864401660732,2
$A_{30}$,0.8254667524786199,4
