Ai,V-COMET pref,V-COMET rank
$A_{1}$,0.16960901820348867,25
$A_{2}$,0.5506427407045964,11
$A_{3}$,0.5031148558280445,12
$A_{4}$,0.7818445041372492,5
$A_{5}$,0.47983556126092247,13
$A_{6}$,0.4060296500616099,16
$A_{7}$,0.2892274876273181,20
$A_{8}$,0.2701923101144669,21
$A_{9}$,0.4074513395539177,15
$A_{10}$,0.3531900051842684,18
$A_{11}$,0.08071002274086359,28
$A_{12}$,0.7337993426377577,7
$A_{13}$,0.09985242536396727,26
$A_{14}$,0.714209874427336,9
$A_{15}$,0.4676850410483275,14
$A_{16}$,0.07018111474418254,29
$A_{17}$,0.2285540248542003,22
$A_{18}$,0.09206330607841255,27
$A_{19}$,0.051079822539428735,30
$A_{20}$,0.9012740075659689,2
$A_{21}$,0.21751805909034833,23
$A_{22}$,0.7758218794804472,6
$A_{23}$,0.6121213297190214,10
$A_{24}$,0.3558045093111794,17
$A_{25}$,0.3441591057795948,19
$A_{26}$,0.8130254748930517,4
$A_{27}$,0.941054195094597,1
$A_{28}$,0.1722138525077474,24
$A_{29}$,0.7225546562404698,8
$A_{30}$,0.8518093322577536,3
